"Valor","Data do Recebimento","Status do Débito","Descrição"
"R$ 199,50","08/02/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","08/02/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","08/02/2024","Pago","1ªMENS."
"R$ 228,00","08/02/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 228,00","08/02/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 228,00","08/02/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 228,00","08/02/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","08/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","08/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","08/02/2024","Pago","MENSALIDADES"
"R$ 285,00","08/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","08/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","08/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","08/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 310,00","08/02/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","08/02/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","08/02/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","08/02/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","08/02/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","08/02/2024","Pago","MENSALIDADE TEMPORÁRIO"
"R$ 4,50","08/03/2024","Pago","CAPSULA DE CAFE"
"R$ 140,00","08/03/2024","Pago","MENSALIDADE INDIVIDUAL E3"
"R$ 199,50","08/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","08/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 200,00","08/03/2024","Pago","FUTEBOL DE DOMINGO"
"R$ 228,00","08/03/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 230,00","08/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","08/03/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","08/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","08/03/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 48,75","08/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 48,75","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 100,00","08/04/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 150,00","08/04/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 150,00","08/04/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 200,00","08/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","08/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 228,00","08/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 230,00","08/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","08/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","08/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","08/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","08/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","08/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 310,00","08/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","08/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","08/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","08/04/2024","Pago","MENSALIDADE TEMPORÁRIO"
"R$ 400,00","08/04/2024","Pago","PARC 8/10 ALUGUEL DO SALAO"
"R$ 4,50","08/05/2024","Pago","CAPSULA DE CAFE"
"R$ 48,75","08/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 48,75","08/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 100,00","08/05/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 150,00","08/05/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 199,50","08/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 200,00","08/05/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","08/05/2024","Pago","MENSALIDADE DE ADESÃO"
"R$ 200,00","08/05/2024","Pago","MENSALIDADE DE ADESÃO"
"R$ 230,00","08/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","08/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","08/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","08/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","08/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","08/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","08/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","08/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 310,00","08/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 325,00","08/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","08/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","08/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","08/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 200,00","08/07/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 260,00","08/07/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","08/07/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 325,00","08/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","08/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","08/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","08/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","08/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 87,50","09/01/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 87,50","09/01/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 126,00","09/01/2024","Pago","MENSALIDADE INDIVIDUAL E3"
"R$ 180,00","09/01/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 180,00","09/01/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 199,50","09/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 199,50","09/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","09/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","09/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 228,00","09/01/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 228,00","09/01/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 280,00","09/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","09/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","09/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","09/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","09/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","09/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","09/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","09/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","09/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 310,00","09/01/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","09/01/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","09/01/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","09/01/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","09/01/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 4,50","09/02/2024","Pago","CAPSULA DE CAFE"
"R$ 87,50","09/02/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 87,50","09/02/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 150,00","09/02/2024","Pago","ALUGUEL DO BAR"
"R$ 180,00","09/02/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 198,50","09/02/2024","Pago","MENS. DE FEVEREIRO EM DUPLICIDADE"
"R$ 199,50","09/02/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","09/02/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","09/02/2024","Pago","1ªMENS."
"R$ 200,00","09/02/2024","Pago","FUTEBOL DE DOMINGO"
"R$ 200,00","09/02/2024","Pago","ALUGUEL DE QUIOSQUE"
"R$ 228,00","09/02/2024","Pago","MENSALIDADE FAMILIAR 2"
"R$ 285,00","09/02/2024","Pago","1ªMENS."
"R$ 285,00","09/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","09/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","09/02/2024","Pago","MULTA DE RESCISÃO DE CONTRATO"
"R$ 4,50","09/04/2024","Pago","CAPSULA DE CAFE"
"R$ 87,50","09/04/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 100,00","09/04/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 140,00","09/04/2024","Pago","MENSALIDADE INDIVIDUAL E3"
"R$ 150,00","09/04/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 200,00","09/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 230,00","09/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","09/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","09/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","09/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 310,00","09/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 325,00","09/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","09/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","09/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","09/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","09/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","09/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 199,50","09/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 200,00","09/05/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 228,00","09/05/2024","Pago","MENSALIDADES"
"R$ 230,00","09/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","09/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","09/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","09/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","09/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 325,00","09/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","09/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","09/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","09/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 15,00","10/01/2024","Pago","Venda de Ingresso - ID Ingresso: 48"
"R$ 15,00","10/01/2024","Pago","Venda de Ingresso - ID Ingresso: 49"
"R$ 15,00","10/01/2024","Pago","Venda de Ingresso - ID Ingresso: 50"
"R$ 87,50","10/01/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 87,50","10/01/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 126,00","10/01/2024","Pago","MENSALIDADE INDIVIDUAL E3"
"R$ 199,50","10/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","10/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","10/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","10/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","10/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","10/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","10/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 228,00","10/01/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","10/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","10/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","10/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","10/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","10/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","10/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","10/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","10/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","10/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","10/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","10/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 310,00","10/01/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","10/01/2024","Pago","MENSALIDADE TEMPORÁRIO"
"R$ 87,50","10/02/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 39,00","10/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 39,00","10/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 100,00","10/04/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 100,00","10/04/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 100,00","10/04/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 140,00","10/04/2024","Pago","MENSALIDADE INDIVIDUAL E3"
"R$ 140,00","10/04/2024","Pago","MENSALIDADE INDIVIDUAL E3"
"R$ 150,00","10/04/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 180,00","10/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 180,00","10/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 199,50","10/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","10/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 200,00","10/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 214,30","10/04/2024","Pago","PGTO DE ENERGIA, AGUA E INTERNET ESCRITORIO"
"R$ 230,00","10/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","10/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","10/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","10/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","10/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/04/2024","Pago","MENSALIDADE PROPRIETÁRIO"
"R$ 350,00","10/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 22,50","10/05/2024","Pago","CAPSULA DE CAFE"
"R$ 48,75","10/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 100,00","10/05/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 140,00","10/05/2024","Pago","MENSALIDADE INDIVIDUAL E3"
"R$ 140,00","10/05/2024","Pago","MENSALIDADE INDIVIDUAL E3"
"R$ 140,00","10/05/2024","Pago","MENSALIDADE INDIVIDUAL E3"
"R$ 200,00","10/05/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/05/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/05/2024","Pago","FUTEBOL DE DOMINGO"
"R$ 200,00","10/05/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/05/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/05/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/05/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/05/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 228,00","10/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 230,00","10/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","10/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","10/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","10/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","10/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","10/05/2024","Pago","MENSALIDADE TEMPORÁRIO"
"R$ 48,75","10/06/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 48,75","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 140,00","10/06/2024","Pago","MENSALIDADE INDIVIDUAL E3"
"R$ 140,00","10/06/2024","Pago","MENSALIDADE INDIVIDUAL E3"
"R$ 140,00","10/06/2024","Pago","MENSALIDADE INDIVIDUAL E3"
"R$ 150,00","10/06/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 150,00","10/06/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 150,00","10/06/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 199,50","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 200,00","10/06/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/06/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/06/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/06/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/06/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","10/06/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","10/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","10/06/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","10/06/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","10/06/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","10/06/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","10/06/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","10/06/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","10/06/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","10/06/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 325,00","10/06/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/06/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/06/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/06/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/06/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/06/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/06/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/06/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","10/06/2024","Pago","MENSALIDADE FAMILIAR"
